nombredepartamento,nombremunicipio,zona,tipo_Establecimiento,capacidades_Excepcionales,idiomas,prestador_de_Servicio,matricula_Contratada,matricula_binaria
CUNDINAMARCA,ZIPAQUIRÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CHÍA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,ILES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,NO APLICA,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CAQUETÁ,CARTAGENA DEL CHAIRÁ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,ALBÁN,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,CEPITÁ,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
MAGDALENA,EL BANCO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,ARGELIA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CAICEDONIA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,EL CAIRO,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
PUTUMAYO,PUERTO ASÍS,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NORTE DE SANTANDER,CONVENCIÓN,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
RISARALDA,PEREIRA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
TOLIMA,IBAGUÉ,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
TOLIMA,CUNDAY,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
TOLIMA,FRESNO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,FUNZA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CASANARE,MONTERREY,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,rural,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,FRANCES,PERSONA NATURAL,NO,0
SANTANDER,FLORIDABLANCA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CALDAS,MANIZALES,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,NO APLICA,"INGLÉS,FRANCES",PERSONA NATURAL,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,PUERTO SALGAR,urbana,INSTITUCION EDUCATIVA,,,REGIMEN ESPECIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,PIEDECUESTA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
META,ACACÍAS,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
LA GUAJIRA,RIOHACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,FRANCES,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SUESCA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CÓRDOBA,CERETÉ,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
ATLÁNTICO,SABANALARGA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,SI,1
CUNDINAMARCA,FACATATIVÁ,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CALDAS,MANIZALES,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,ZIPAQUIRÁ,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
CUNDINAMARCA,MADRID,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CAJICÁ,rural,INSTITUCION EDUCATIVA,,"INGLÉS,ALEMAN,FRANCES",COOPERATIVO,NO,0
ATLÁNTICO,PUERTO COLOMBIA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CAQUETÁ,FLORENCIA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,SINCELEJO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,PIEDECUESTA,rural,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SIBATÉ,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NARIÑO,PASTO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CESAR,VALLEDUPAR,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALIMA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
META,GUAMAL,rural,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CAJICÁ,rural,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,ENVIGADO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,LA ESTRELLA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,TENJO,rural,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
LA GUAJIRA,RIOHACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOPÓ,rural,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
META,ACACÍAS,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,NO APLICA,INGLÉS,PERSONA NATURAL,SI,1
ATLÁNTICO,SOLEDAD,urbana,CENTRO EDUCATIVO,NO APLICA,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,rural,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,SI,1
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,FACATATIVÁ,rural,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,COTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SUSA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,TABIO,rural,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,ZIPAQUIRÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
CUNDINAMARCA,FUNZA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CASANARE,YOPAL,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CASANARE,YOPAL,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,FRANCES,PERSONA NATURAL,NO,0
CUNDINAMARCA,COTA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,COMUNIDAD RELIGIOSA,NO,0
CUNDINAMARCA,FACATATIVÁ,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,HEBREO,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CAJICÁ,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
SUCRE,SINCELEJO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CALDAS,MANIZALES,urbana,INSTITUCION EDUCATIVA,,,FEDERACIONES,NO,0
ATLÁNTICO,PUERTO COLOMBIA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,LA MESA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CALDAS,MANIZALES,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,FRANCES,PERSONA NATURAL,NO,0
SANTANDER,FLORIDABLANCA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CASANARE,YOPAL,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,FRANCES,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,CENTRO EDUCATIVO,,INGLÉS,FUNDACION O CORPORACIONES,NO,0
CUNDINAMARCA,SOACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,MADRID,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,TURBACO,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SANTANDER,LEBRIJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,FRANCES,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
CUNDINAMARCA,SOACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CALDAS,VILLAMARÍA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
SUCRE,SAMPUÉS,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CASANARE,YOPAL,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,GIRÓN,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CÓRDOBA,MONTERÍA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CAJICÁ,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,FUNZA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,MADRID,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SANTANDER,FLORIDABLANCA,rural,INSTITUCION EDUCATIVA,,"INGLÉS,FRANCES",FEDERACIONES,NO,0
CALDAS,MANIZALES,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CALDAS,LA DORADA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,SI,1
SANTANDER,BARRANCABERMEJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,SANTA MARTA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,SÁCHICA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
QUINDIO,ARMENIA,urbana,INSTITUCION EDUCATIVA,"CAPACIDADES EXCEPCIONALES,TALENTO CIENTIFICO,TALENTO TECNOLOGICO,TALENTO SUBJETIVO/ARTÍSTICO",INGLÉS,COMUNIDAD RELIGIOSA,NO,0
LA GUAJIRA,RIOHACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CÓRDOBA,PURÍSIMA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,FUNDACION O CORPORACIONES,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,"INGLÉS,FRANCES",PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,COTA,rural,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,HEBREO,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CESAR,VALLEDUPAR,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,SAN MARCOS,urbana,INSTITUCION EDUCATIVA,CAPACIDADES EXCEPCIONALES,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
CAUCA,TIMBÍO,urbana,INSTITUCION EDUCATIVA,,,FUNDACION O CORPORACIONES,NO,0
CAUCA,POPAYÁN,urbana,INSTITUCION EDUCATIVA,,,FUNDACION O CORPORACIONES,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,MAGANGUÉ,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",rural,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,NO APLICA,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,LA CALERA,rural,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
