nombredepartamento,nombremunicipio,zona,tipo_Establecimiento,capacidades_Excepcionales,idiomas,prestador_de_Servicio,matricula_Contratada,matricula_binaria
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,FRANCES,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SANTO TOMÁS,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,INSTITUCION EDUCATIVA,,,COOPERATIVO,NO,0
ATLÁNTICO,PUERTO COLOMBIA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,BARRANCABERMEJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
ATLÁNTICO,SOLEDAD,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,SAN MARCOS,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,TULUÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,MAGANGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,SOGAMOSO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CESAR,CURUMANÍ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,BARRANCABERMEJA,rural,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ATLÁNTICO,MALAMBO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,MALAMBO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,MÁLAGA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CESAR,EL COPEY,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,SIMACOTA,urbana,CENTRO EDUCATIVO,,HEBREO,PERSONA NATURAL,NO,0
SANTANDER,BARRANCABERMEJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,TULUÁ,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOLÍVAR,MAGANGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,MAGANGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOLÍVAR,MAGANGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,SOGAMOSO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SABANALARGA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,PALMAR DE VARELA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,LA CALERA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,EL TAMBO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,LEIVA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,SAN PEDRO DE CARTAGO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NARIÑO,CUMBAL,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
SANTANDER,BARRANCABERMEJA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,TANGUA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,LINARES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CAUCA,PURACÉ,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CAUCA,PURACÉ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CAUCA,PURACÉ,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CAUCA,PURACÉ,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CAUCA,PURACÉ,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CAUCA,PURACÉ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SABANALARGA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,MALAMBO,urbana,INSTITUCION EDUCATIVA,"DOBLE EXCEPCIONALIDAD,TALENTO ATLÉTICO/DEPORTIVO,TALENTO CIENTIFICO,TALENTO TECNOLOGICO,TALENTO SUBJETIVO/ARTÍSTICO",INGLÉS,OFICIAL,NO,0
NARIÑO,CUMBITARA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,CUMBITARA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,SAN PABLO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CUNDINAMARCA,GACHANCIPÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,SAN PABLO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CÓRDOBA,MONTERÍA,urbana,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
BOLÍVAR,TURBACO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SANTANDER,GIRÓN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,ARBOLEDAS,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,NO APLICA,INGLÉS,OFICIAL,NO,0
CAUCA,MORALES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,INSTITUCION EDUCATIVA,NO APLICA,INGLÉS,PERSONA NATURAL,SI,1
MAGDALENA,ZONA BANANERA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ANTIOQUIA,SAN ROQUE,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,CONSACÁ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CESAR,GONZÁLEZ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
VALLE DEL CAUCA,FLORIDA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ANTIOQUIA,TURBO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,LA PLATA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,SINCELEJO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,INSTITUCION EDUCATIVA,,,SOCIEDAD,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,GUADALAJARA DE BUGA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,TULUÁ,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ANTIOQUIA,RETIRO,rural,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NARIÑO,PASTO,urbana,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,FLORIDABLANCA,urbana,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,,COOPERATIVO,NO,0
CÓRDOBA,MONTERÍA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
RISARALDA,PEREIRA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,FACATATIVÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,PALMIRA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
CESAR,VALLEDUPAR,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,INSTITUCION EDUCATIVA,,INGLÉS,FUNDACION O CORPORACIONES,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,"INGLÉS,FRANCES",PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VAUPÉS,MITÚ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
TOLIMA,SAN SEBASTIÁN DE MARIQUITA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,EL CARMEN DE BOLÍVAR,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CHOCÓ,ISTMINA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
VALLE DEL CAUCA,PALMIRA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,LA ESPERANZA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
VALLE DEL CAUCA,EL DOVIO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,SUAITA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,COOPERATIVO,NO,0
VALLE DEL CAUCA,PALMIRA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
LA GUAJIRA,RIOHACHA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
SUCRE,GALERAS,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CAUCA,INZÁ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
CESAR,VALLEDUPAR,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOLÍVAR,CÓRDOBA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SANTANDER,GÜEPSA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
BOLÍVAR,MARÍA LA BAJA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
RISARALDA,PEREIRA,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOLÍVAR,SAN JUAN NEPOMUCENO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,BUESACO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,BARBACOAS,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,EL PEÑOL,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CAUCA,PURACÉ,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
NARIÑO,BARBACOAS,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
NARIÑO,CHACHAGÜÍ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ATLÁNTICO,CANDELARIA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,LINARES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,LOS ANDES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CUNDINAMARCA,MOSQUERA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
TOLIMA,ESPINAL,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,SIMITÍ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,EL TAMBO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
BOYACÁ,TUNJA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
RISARALDA,PEREIRA,urbana,INSTITUCION EDUCATIVA,,,FUNDACION O CORPORACIONES,NO,0
BOYACÁ,TUNJA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
